Shipment_ID,Order_Date,Dispatch_Date,Delivery_Date,Origin_City,Destination_City,Origin_Region,Destination_Region,Distance_km,Carrier,Vehicle_Type,Package_Weight_kg,Package_Volume_m3,Priority_Level,Temperature_Sensitive,Fragile,Actual_Delivery_Time_Hours,Estimated_Delivery_Time_Hours,On_Time_Delivery,Delivery_Cost_NOK,Fuel_Cost_NOK,CO2_Emissions_kg,Route_Efficiency_Score,Weather_Condition,Traffic_Condition
SHP1000,17/01/2024,18/01/2024,18/01/2024,Bergen,Stavanger,Vestlandet,Vestlandet,210,DB Schenker,Truck,0.75,0.001,Express,0,0,2,2,1,3781,1323,52,100,Clear,Medium
SHP1001,01/03/2024,03/03/2024,03/03/2024,Bodø,Tromsø,Nord-Norge,Nord-Norge,440,Posten,Truck,4.38,0.027,Standard,0,0,7.1,7.1,1,5277,2770,110,100,Clear,Low
SHP1002,23/01/2024,25/01/2024,25/01/2024,Drammen,Kristiansand,Østlandet,Sørlandet,547,Norsk Transport,Truck,0.28,0.001,Express,0,0,6,6,1,9846,3446,137,100,Rain,Medium
SHP1003,09/02/2024,11/02/2024,11/02/2024,Trondheim,Stavanger,Trøndelag,Vestlandet,379,DHL Norway,Truck,8.06,0.036,Express,0,1,4.3,3.7,0,6836,2391,95,86,Clear,Severe
SHP1004,03/03/2024,04/03/2024,04/03/2024,Oslo,Fredrikstad,Østlandet,Østlandet,279,Bring,Van,2.38,0.003,Standard,1,0,5.7,5.7,1,2234,603,33,100,Clear,Medium
SHP1005,27/02/2024,28/02/2024,28/02/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,DSV,Truck,3.38,0.015,Express,0,1,8.8,5.2,0,8823,3087,122,30,Storm,High
SHP1006,20/02/2024,22/02/2024,22/02/2024,Oslo,Drammen,Østlandet,Østlandet,585,Posten,Truck,24.13,0.087,Standard,0,0,10,10,1,7034,3686,146,100,Clear,Medium
SHP1007,22/01/2024,23/01/2024,23/01/2024,Kristiansand,Drammen,Sørlandet,Østlandet,530,Posten,Truck,6.99,0.012,Standard,0,1,7,7,1,6365,3340,133,100,Clear,Low
SHP1008,13/02/2024,14/02/2024,14/02/2024,Trondheim,Kristiansand,Trøndelag,Sørlandet,325,Bring,Truck,3.13,0.014,Express,0,0,4,3.1,0,5844,2044,81,71,Snow,Medium
SHP1009,22/01/2024,23/01/2024,23/01/2024,Drammen,Drammen,Østlandet,Østlandet,17,DB Schenker,Van,9.12,0.033,Standard,1,0,2,2,1,139,36,2,100,Clear,Medium
SHP1010,14/01/2024,15/01/2024,15/01/2024,Oslo,Stavanger,Østlandet,Vestlandet,540,FedEx Norway,Train,2.25,0.014,Express,0,1,4.5,4.5,1,4862,778,16,100,Clear,Low
SHP1011,07/01/2024,08/01/2024,08/01/2024,Bodø,Ålesund,Nord-Norge,Vestlandet,286,DSV,Van,0.77,0.002,Standard,1,0,6.5,6.5,1,2292,619,34,100,Clear,Medium
SHP1012,27/02/2024,28/02/2024,28/02/2024,Kristiansand,Drammen,Sørlandet,Østlandet,358,DSV,Truck,0.21,0.001,Express,1,0,3.6,3.6,1,6439,2254,89,100,Rain,Medium
SHP1013,07/03/2024,09/03/2024,09/03/2024,Oslo,Kristiansand,Østlandet,Sørlandet,423,Bring,Truck,30.27,0.209,Standard,0,1,9.3,7,0,5089,2664,106,67,Storm,High
SHP1014,18/01/2024,20/01/2024,20/01/2024,Oslo,Drammen,Østlandet,Østlandet,229,Posten,Truck,12.9,0.102,Standard,0,0,3.1,3.1,1,2758,1445,57,100,Clear,Low
SHP1015,11/02/2024,12/02/2024,12/02/2024,Oslo,Drammen,Østlandet,Østlandet,543,Posten,Truck,16.09,0.146,Standard,0,0,7,7,1,6519,3418,136,100,Clear,Low
SHP1016,12/01/2024,13/01/2024,13/01/2024,Bergen,Bodø,Vestlandet,Nord-Norge,242,PostNord,Truck,39.59,0.066,Express,0,0,2.4,2.4,1,4378,1522,60,100,Clear,Medium
SHP1017,23/03/2024,24/03/2024,24/03/2024,Stavanger,Stavanger,Vestlandet,Vestlandet,7,Norsk Transport,Van,26.83,0.155,Standard,0,0,2,2,1,67,14,1,100,Clear,Low
SHP1018,12/02/2024,13/02/2024,13/02/2024,Bergen,Fredrikstad,Vestlandet,Østlandet,595,DSV,Truck,13.35,0.081,Standard,0,1,8.9,8.9,1,7141,3746,149,100,Rain,Low
SHP1019,25/02/2024,27/02/2024,27/02/2024,Oslo,Oslo,Østlandet,Østlandet,48,DB Schenker,Van,11.84,0.038,Standard,0,0,2,2,1,386,103,6,100,Rain,Medium
SHP1020,03/02/2024,05/02/2024,05/02/2024,Trondheim,Ålesund,Trøndelag,Vestlandet,285,Norsk Transport,Truck,4.11,0.012,Standard,0,0,5.9,4.6,0,3425,1797,71,72,Clear,High
SHP1021,06/03/2024,08/03/2024,08/03/2024,Oslo,Drammen,Østlandet,Østlandet,580,Posten,Truck,1.1,0.005,Priority,0,1,10.2,8,0,8358,3656,145,73,Storm,Low
SHP1022,15/01/2024,17/01/2024,18/01/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,PostNord,Truck,8.53,0.025,Standard,0,1,31.5,26.2,0,20884,10962,435,80,Clear,High
SHP1023,13/01/2024,14/01/2024,14/01/2024,Bergen,Drammen,Vestlandet,Østlandet,350,DB Schenker,Truck,8.59,0.035,Standard,0,0,6.5,5.2,0,4200,2202,87,75,Clear,High
SHP1024,16/01/2024,18/01/2024,18/01/2024,Stavanger,Bodø,Vestlandet,Nord-Norge,341,DSV,Truck,30.42,0.278,Standard,0,0,6.4,4.4,0,4105,2147,85,56,Snow,Low
SHP1025,21/02/2024,23/02/2024,23/02/2024,Fredrikstad,Fredrikstad,Østlandet,Østlandet,50,Bring,Van,5.84,0.055,Standard,0,0,2,2,1,399,107,6,100,Clear,Medium
SHP1026,14/02/2024,15/02/2024,17/02/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,DB Schenker,Container Ship,11.74,0.081,Standard,0,1,52.2,42.8,0,6966,7830,313,78,Clear,Medium
SHP1027,03/03/2024,04/03/2024,04/03/2024,Stavanger,Ålesund,Vestlandet,Vestlandet,456,DHL Norway,Truck,8.56,0.051,Express,0,0,5.8,4.5,0,8223,2876,114,71,Clear,High
SHP1028,05/02/2024,06/02/2024,06/02/2024,Trondheim,Tromsø,Trøndelag,Nord-Norge,389,Posten,Truck,1.95,0.003,Priority,0,1,4.6,4.6,1,5608,2453,97,100,Clear,Low
SHP1029,13/02/2024,14/02/2024,14/02/2024,Oslo,Stavanger,Østlandet,Vestlandet,540,DSV,Train,8.97,0.01,Standard,0,1,7,7,1,3244,778,16,100,Clear,Low
SHP1030,19/02/2024,21/02/2024,21/02/2024,Trondheim,Kristiansand,Trøndelag,Sørlandet,308,Posten,Truck,7.77,0.051,Standard,0,0,5.2,5.2,1,3703,1942,77,100,Fog,Low
SHP1031,29/01/2024,31/01/2024,31/01/2024,Oslo,Kristiansand,Østlandet,Sørlandet,456,FedEx Norway,Train,6.81,0.045,Priority,0,0,5.4,5.4,1,3287,657,14,100,Clear,Low
SHP1032,01/02/2024,03/02/2024,03/02/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,DSV,Truck,7.2,0.046,Standard,0,0,5.3,5.3,1,4684,2457,98,100,Clear,Low
SHP1033,17/02/2024,19/02/2024,19/02/2024,Bodø,Fredrikstad,Nord-Norge,Østlandet,365,DHL Norway,Truck,1.79,0.004,Standard,0,0,5.5,5.5,1,4384,2301,91,100,Clear,Low
SHP1034,29/03/2024,30/03/2024,30/03/2024,Bodø,Kristiansand,Nord-Norge,Sørlandet,339,Bring,Truck,6.23,0.049,Standard,0,0,6.9,5.1,0,4066,2133,85,66,Snow,Low
SHP1035,10/03/2024,12/03/2024,12/03/2024,Fredrikstad,Bergen,Østlandet,Vestlandet,557,Posten,Truck,9.31,0.021,Standard,0,0,8.6,8.6,1,6691,3511,139,100,Clear,Low
SHP1036,31/01/2024,01/02/2024,01/02/2024,Bergen,Bodø,Vestlandet,Nord-Norge,218,Posten,Truck,6.72,0.011,Standard,0,0,3.5,3.5,1,2624,1376,55,100,Rain,Low
SHP1037,25/02/2024,27/02/2024,27/02/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,Bring,Truck,6.71,0.022,Priority,0,1,5.1,5.1,1,5620,2457,98,100,Clear,Medium
SHP1038,10/02/2024,11/02/2024,11/02/2024,Drammen,Ålesund,Østlandet,Vestlandet,443,Posten,Truck,0.81,0.004,Standard,0,0,6.3,6.3,1,5320,2793,111,100,Clear,Low
SHP1039,29/02/2024,01/03/2024,01/03/2024,Bergen,Oslo,Vestlandet,Østlandet,230,DSV,Van,2.12,0.005,Express,0,0,3,3,1,2764,497,28,100,Rain,Low
SHP1040,19/03/2024,20/03/2024,20/03/2024,Oslo,Oslo,Østlandet,Østlandet,45,Posten,Van,3.87,0.007,Standard,0,1,2,2,1,360,97,5,100,Clear,Medium
SHP1041,03/01/2024,05/01/2024,05/01/2024,Stavanger,Stavanger,Vestlandet,Vestlandet,35,DSV,Van,5.44,0.015,Standard,0,0,2,2,1,282,76,4,100,Clear,Low
SHP1042,04/03/2024,05/03/2024,05/03/2024,Oslo,Stavanger,Østlandet,Vestlandet,540,Bring,Train,9.01,0.088,Standard,0,0,6.3,6.3,1,3245,778,16,100,Rain,Low
SHP1043,16/01/2024,17/01/2024,17/01/2024,Tromsø,Oslo,Nord-Norge,Østlandet,1740,DSV,Cargo Plane,19.9,0.095,Express,1,0,2.6,2.6,1,65265,78300,487,100,Clear,Low
SHP1044,25/01/2024,27/01/2024,27/01/2024,Oslo,Kristiansand,Østlandet,Sørlandet,404,PostNord,Truck,1.73,0.004,Standard,0,1,9.5,6,0,4852,2547,101,43,Storm,High
SHP1045,24/02/2024,26/02/2024,26/02/2024,Trondheim,Trondheim,Trøndelag,Trøndelag,19,DB Schenker,Van,0.15,0.001,Standard,0,0,2.5,2,0,148,40,2,76,Clear,High
SHP1046,14/03/2024,16/03/2024,16/03/2024,Bergen,Ålesund,Vestlandet,Vestlandet,571,Scandinavian Express,Truck,5.96,0.011,Priority,0,0,7.9,7.9,1,8220,3595,143,100,Rain,Low
SHP1047,05/03/2024,07/03/2024,07/03/2024,Stavanger,Bergen,Vestlandet,Vestlandet,210,Posten,Truck,5.66,0.035,Express,1,1,2.9,2,0,3784,1323,52,58,Snow,Medium
SHP1048,29/01/2024,31/01/2024,31/01/2024,Stavanger,Ålesund,Vestlandet,Vestlandet,322,Bring,Truck,8.03,0.017,Priority,0,0,3.6,3.6,1,4646,2030,81,100,Clear,Low
SHP1049,03/03/2024,05/03/2024,05/03/2024,Oslo,Drammen,Østlandet,Østlandet,397,Bring,Truck,17.91,0.079,Standard,1,0,6.1,6.1,1,4770,2500,99,100,Clear,Low
